基金代码,基金简称,2021-08-25-单位净值,2021-08-25-累计净值,2021-08-24-单位净值,2021-08-24-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
011102,天弘中证光伏产业指数A,1.4224,1.4224,1.3643,1.3643,0.0581,4.26,开放申购,开放赎回,0.10%
011103,天弘中证光伏产业指数C,1.4208,1.4208,1.3627,1.3627,0.0581,4.26,开放申购,开放赎回,0.00%
012723,平安中证光伏产业指数C,1.1531,1.1531,1.1060,1.1060,0.0471,4.26,开放申购,开放赎回,0.00%
012722,平安中证光伏产业指数A,1.1534,1.1534,1.1064,1.1064,0.0470,4.25,开放申购,开放赎回,0.12%
012365,广发中证光伏产业指数C,1.2529,1.2529,1.2027,1.2027,0.0502,4.17,开放申购,开放赎回,0.00%
620004,金元顺安价值增长混合,1.2710,1.2710,1.2210,1.2210,0.05,4.10,开放申购,开放赎回,0.15%
011966,招商中证光伏产业指数A,1.1082,1.1082,1.0669,1.0669,0.0413,3.87,开放申购,开放赎回,0.12%
011967,招商中证光伏产业指数C,1.1072,1.1072,1.0660,1.0660,0.0412,3.86,开放申购,开放赎回,0.00%
620002,金元顺安成长动力混合,1.5650,2.0380,1.5070,1.98,0.0580,3.85,开放申购,开放赎回,0.15%
161032,富国中证煤炭指数(LOF)A,1.61,1.1220,1.5530,1.0820,0.0570,3.67,开放申购,开放赎回,0.00%
013275,富国中证煤炭指数(LOF)C,1.61,1.61,1.5530,1.5530,0.0570,3.67,开放申购,开放赎回,0.00%
002666,前海开源沪港深创新成长混合A,2.1320,2.2120,2.0690,2.1490,0.0630,3.04,开放申购,开放赎回,0.15%
002667,前海开源沪港深创新成长混合C,2.1020,2.1820,2.04,2.12,0.0620,3.04,开放申购,开放赎回,0.15%
009507,国金鑫意医药消费A,1.0119,1.0119,0.9828,0.9828,0.0291,2.96,开放申购,开放赎回,0.15%
009508,国金鑫意医药消费C,1.0060,1.0060,0.9771,0.9771,0.0289,2.96,开放申购,开放赎回,0.00%
161715,招商大宗商品(LOF),1.6360,1.7745,1.5949,1.7334,0.0411,2.58,开放申购,开放赎回,0.12%
970048,东海海睿致远灵活配置混合,1.4753,1.9901,1.4386,1.9534,0.0367,2.55,开放申购,开放赎回,0.15%
002959,汇添富盈泰混合,2.5730,2.5730,2.5120,2.5120,0.0610,2.43,开放申购,开放赎回,0.12%
005090,嘉合睿金混合发起式A,2.2741,2.5441,2.2202,2.4902,0.0539,2.43,开放申购,开放赎回,0.15%
005091,嘉合睿金混合发起式C,2.2283,2.4933,2.1754,2.4404,0.0529,2.43,开放申购,开放赎回,0.00%
001471,融通新能源灵活配置混合,3.1840,3.3040,3.1090,3.2290,0.0750,2.41,开放申购,开放赎回,0.15%
010615,国金自主创新混合A,0.9706,0.9706,0.9480,0.9480,0.0226,2.38,开放申购,开放赎回,0.15%
010616,国金自主创新混合C,0.9677,0.9677,0.9452,0.9452,0.0225,2.38,开放申购,开放赎回,0.00%
005368,富国清洁能源产业混合A,2.7277,2.7277,2.6661,2.6661,0.0616,2.31,开放申购,开放赎回,0.15%
011127,富国清洁能源产业混合C,2.7186,2.7186,2.6572,2.6572,0.0614,2.31,开放申购,开放赎回,0.00%
001300,大成睿景灵活配置混合A,2.3370,2.3370,2.2860,2.2860,0.0510,2.23,开放申购,开放赎回,0.15%
050024,博时上证自然资源ETF联接,1.0866,1.0866,1.0629,1.0629,0.0237,2.23,开放申购,开放赎回,0.12%
163822,中银主题策略混合,4.3220,4.4220,4.2280,4.3280,0.0940,2.22,开放申购,开放赎回,0.15%
003292,嘉实优势成长混合,1.3370,1.3370,1.3080,1.3080,0.0290,2.22,开放申购,开放赎回,0.15%
001301,大成睿景灵活配置混合C,2.2210,2.2210,2.1730,2.1730,0.0480,2.21,开放申购,开放赎回,0.00%
008638,广发科技创新混合,2.1241,2.1241,2.0785,2.0785,0.0456,2.19,开放申购,开放赎回,0.15%
010826,大成产业趋势混合A,1.2875,1.2875,1.2602,1.2602,0.0273,2.17,开放申购,开放赎回,0.15%
010827,大成产业趋势混合C,1.2820,1.2820,1.2549,1.2549,0.0271,2.16,开放申购,开放赎回,0.00%
398051,中海环保新能源混合,3.0970,3.1950,3.0330,3.1310,0.0640,2.11,开放申购,开放赎回,0.15%
006478,长盛多因子策略优选,2.1472,2.2782,2.1033,2.2343,0.0439,2.09,限大额,开放赎回,0.15%
008481,永赢股息优选C,1.5291,1.5291,1.4978,1.4978,0.0313,2.09,开放申购,开放赎回,0.00%
008480,永赢股息优选A,1.5333,1.5333,1.5020,1.5020,0.0313,2.08,开放申购,开放赎回,0.15%
013278,富国中证体育产业指数(LOF)C,0.8840,0.8840,0.8660,0.8660,0.0180,2.08,开放申购,开放赎回,0.00%
163804,中银收益混合A,2.2435,4.61,2.1979,4.5644,0.0456,2.07,开放申购,开放赎回,0.15%
005505,前海开源中药股票A,1.8624,1.8624,1.8259,1.8259,0.0365,2.00,开放申购,开放赎回,0.15%
005506,前海开源中药股票C,1.8518,1.8518,1.8155,1.8155,0.0363,2.00,开放申购,开放赎回,0.00%
